tenure_months,monthly_charges,total_tickets,contract_type,payment_method,churn
2,112.22,2,month-to-month,bank_transfer,1
1,34.2,2,month-to-month,bank_transfer,1
48,50.42,2,month-to-month,credit_card,0
12,33.92,0,month-to-month,bank_transfer,0
69,81.2,4,month-to-month,electronic_check,1
37,50.63,0,two-year,bank_transfer,0
32,52.61,2,one-year,electronic_check,0
9,27.09,2,month-to-month,credit_card,1
19,54.98,3,two-year,electronic_check,1
48,106.25,2,month-to-month,bank_transfer,1
3,43.31,3,month-to-month,electronic_check,1
20,89.52,0,month-to-month,electronic_check,1
24,82.96,2,one-year,bank_transfer,1
54,106.35,3,month-to-month,bank_transfer,1
33,33.23,2,month-to-month,electronic_check,1
24,117.76,0,two-year,electronic_check,1
36,78.26,1,month-to-month,credit_card,1
38,119.55,1,one-year,electronic_check,1
25,111.15,1,two-year,bank_transfer,1
18,42.15,4,month-to-month,bank_transfer,1
66,25.62,2,two-year,bank_transfer,0
54,45.56,2,one-year,electronic_check,0
35,72.76,1,two-year,credit_card,1
61,37.16,1,month-to-month,electronic_check,0
41,36.75,1,two-year,electronic_check,0
33,66.26,4,month-to-month,bank_transfer,1
68,23.33,1,one-year,electronic_check,0
33,32.19,1,month-to-month,electronic_check,0
14,61.59,4,month-to-month,credit_card,1
21,26.31,2,month-to-month,credit_card,0
48,59.68,1,month-to-month,bank_transfer,1
20,67.4,4,month-to-month,electronic_check,1
8,65.13,0,month-to-month,electronic_check,1
7,106.92,1,month-to-month,bank_transfer,1
67,73.01,2,month-to-month,bank_transfer,1
17,66.8,2,month-to-month,electronic_check,1
33,61.07,2,month-to-month,credit_card,1
48,101.76,1,two-year,electronic_check,0
59,109.51,1,one-year,electronic_check,1
22,105.32,0,month-to-month,electronic_check,1
30,87.35,1,month-to-month,credit_card,0
38,33.74,1,one-year,electronic_check,1
51,47.69,3,month-to-month,electronic_check,0
54,24.61,1,month-to-month,electronic_check,1
8,113.08,2,month-to-month,credit_card,1
27,86.08,1,two-year,bank_transfer,0
27,94.64,1,month-to-month,electronic_check,0
21,51.16,3,one-year,credit_card,1
30,104.57,1,month-to-month,electronic_check,1
28,45.96,0,one-year,bank_transfer,1
64,20.16,1,month-to-month,bank_transfer,0
69,57.64,4,month-to-month,bank_transfer,1
61,77.08,3,month-to-month,electronic_check,1
48,67.87,1,two-year,credit_card,0
19,106.21,1,month-to-month,bank_transfer,1
4,30.54,2,month-to-month,credit_card,0
35,75.38,0,one-year,credit_card,0
64,71.3,1,one-year,credit_card,0
49,48.14,3,month-to-month,bank_transfer,0
17,102.22,0,month-to-month,electronic_check,1
44,95.28,1,month-to-month,credit_card,1
30,93.29,3,month-to-month,credit_card,1
46,107.62,5,two-year,credit_card,1
6,92.28,2,month-to-month,electronic_check,1
37,43.18,1,two-year,bank_transfer,0
24,90.56,1,month-to-month,credit_card,1
46,50.77,0,month-to-month,credit_card,1
53,44.22,3,month-to-month,electronic_check,1
60,27.3,1,one-year,bank_transfer,0
63,94.4,2,month-to-month,bank_transfer,1
32,91.1,2,one-year,electronic_check,1
33,43.45,1,one-year,credit_card,0
67,94.94,2,month-to-month,bank_transfer,0
18,111.78,2,month-to-month,bank_transfer,1
25,30.8,1,month-to-month,credit_card,1
54,43.26,1,one-year,electronic_check,0
58,95.03,2,month-to-month,credit_card,0
67,47.45,0,one-year,credit_card,0
46,82.47,0,month-to-month,credit_card,1
24,28.12,1,one-year,bank_transfer,0
32,65.22,0,one-year,electronic_check,1
47,93.91,2,month-to-month,bank_transfer,1
23,88.65,4,two-year,electronic_check,1
66,101.51,2,one-year,bank_transfer,0
27,107.75,4,month-to-month,bank_transfer,1
2,97.32,2,one-year,bank_transfer,1
17,87.16,6,one-year,bank_transfer,1
33,23.17,0,month-to-month,credit_card,0
9,73.5,1,month-to-month,credit_card,1
43,23.77,1,month-to-month,bank_transfer,0
48,100.81,4,two-year,credit_card,1
39,52.07,2,one-year,electronic_check,0
42,76.24,2,month-to-month,credit_card,0
26,47.94,2,month-to-month,electronic_check,1
50,98.25,1,month-to-month,bank_transfer,1
25,108.65,0,month-to-month,bank_transfer,1
24,59.86,1,month-to-month,bank_transfer,1
13,106.29,1,month-to-month,electronic_check,1
60,46.71,2,two-year,electronic_check,1
7,73.47,1,two-year,electronic_check,1
57,105.88,4,month-to-month,bank_transfer,1
36,52.59,2,month-to-month,electronic_check,0
45,115.4,1,two-year,electronic_check,1
20,32.19,0,month-to-month,electronic_check,0
65,21.83,1,one-year,electronic_check,1
8,110.41,3,two-year,credit_card,1
16,26.86,2,one-year,bank_transfer,1
14,119.19,2,month-to-month,credit_card,1
15,115.14,3,two-year,bank_transfer,1
66,33.7,1,two-year,credit_card,0
32,73.76,4,one-year,bank_transfer,1
63,38.49,4,month-to-month,bank_transfer,0
51,62.82,2,one-year,bank_transfer,0
25,26.14,3,month-to-month,electronic_check,1
58,42.39,3,month-to-month,bank_transfer,1
63,56.33,1,month-to-month,credit_card,1
62,63.86,2,two-year,credit_card,1
22,117.75,0,two-year,bank_transfer,1
58,100.79,1,one-year,credit_card,0
58,93.74,0,month-to-month,credit_card,1
49,73.7,0,month-to-month,bank_transfer,0
52,104.0,2,two-year,credit_card,1
42,53.93,1,one-year,electronic_check,0
70,90.89,2,two-year,electronic_check,0
15,119.38,1,month-to-month,electronic_check,1
54,51.46,3,one-year,credit_card,0
60,87.4,3,two-year,electronic_check,0
8,104.43,2,month-to-month,electronic_check,1
53,111.58,1,month-to-month,electronic_check,1
60,91.79,1,month-to-month,electronic_check,1
5,48.36,0,two-year,bank_transfer,1
68,52.63,0,one-year,electronic_check,0
6,22.08,3,one-year,bank_transfer,0
47,96.09,3,month-to-month,electronic_check,1
55,24.27,3,one-year,electronic_check,0
40,106.47,0,one-year,credit_card,1
52,31.87,2,month-to-month,credit_card,0
16,37.19,1,two-year,bank_transfer,0
13,67.65,1,month-to-month,electronic_check,1
30,93.79,3,month-to-month,credit_card,1
19,33.9,2,month-to-month,bank_transfer,0
17,64.01,2,month-to-month,credit_card,1
63,68.29,1,one-year,bank_transfer,0
19,41.23,2,month-to-month,electronic_check,1
58,31.56,2,two-year,bank_transfer,0
55,103.64,0,month-to-month,bank_transfer,0
62,70.25,2,month-to-month,bank_transfer,1
23,21.44,1,one-year,electronic_check,0
9,100.3,0,one-year,credit_card,1
12,118.08,3,month-to-month,electronic_check,1
1,80.59,0,two-year,bank_transfer,1
58,70.37,1,one-year,electronic_check,0
1,107.84,1,month-to-month,bank_transfer,1
34,115.25,1,month-to-month,electronic_check,1
48,95.45,4,month-to-month,bank_transfer,1
1,64.55,1,two-year,electronic_check,1
16,79.22,1,month-to-month,bank_transfer,1
61,90.09,3,month-to-month,electronic_check,1
64,39.43,2,month-to-month,credit_card,0
63,64.72,0,month-to-month,credit_card,0
69,102.98,0,one-year,credit_card,0
22,85.47,3,one-year,credit_card,1
67,61.12,1,month-to-month,electronic_check,0
26,86.34,1,month-to-month,credit_card,1
16,31.82,0,month-to-month,electronic_check,0
51,60.15,2,one-year,bank_transfer,1
57,99.31,2,two-year,electronic_check,1
29,42.05,1,month-to-month,credit_card,0
69,38.6,3,month-to-month,bank_transfer,0
47,115.08,6,month-to-month,bank_transfer,1
62,40.99,1,two-year,credit_card,0
69,46.09,3,month-to-month,bank_transfer,0
16,116.96,0,month-to-month,bank_transfer,1
48,93.47,1,month-to-month,electronic_check,1
39,89.96,2,month-to-month,credit_card,1
33,105.29,0,one-year,credit_card,1
23,31.58,1,month-to-month,credit_card,1
10,90.6,2,month-to-month,electronic_check,1
69,70.37,1,one-year,electronic_check,1
34,102.92,1,month-to-month,electronic_check,1
52,70.81,1,one-year,electronic_check,1
10,82.02,0,month-to-month,electronic_check,1
19,67.77,0,one-year,bank_transfer,1
58,67.82,3,month-to-month,credit_card,1
1,96.8,0,two-year,credit_card,1
69,82.86,0,month-to-month,electronic_check,0
4,83.33,3,month-to-month,electronic_check,1
16,65.03,0,two-year,electronic_check,0
24,73.11,2,two-year,electronic_check,0
2,94.57,4,month-to-month,bank_transfer,1
32,102.59,1,two-year,electronic_check,1
24,89.66,1,month-to-month,credit_card,1
12,112.41,3,one-year,bank_transfer,1
50,102.03,0,month-to-month,bank_transfer,1
35,76.19,3,month-to-month,credit_card,1
33,87.14,2,month-to-month,credit_card,1
33,112.63,2,one-year,bank_transfer,1
61,81.92,0,month-to-month,credit_card,1
51,102.48,1,month-to-month,bank_transfer,1
43,88.88,4,two-year,credit_card,1
12,75.19,1,month-to-month,electronic_check,1
67,44.18,0,month-to-month,electronic_check,0
65,62.6,2,one-year,credit_card,0
33,116.77,1,month-to-month,electronic_check,1
40,85.78,1,month-to-month,bank_transfer,1
43,76.44,3,month-to-month,credit_card,0
44,113.3,0,month-to-month,electronic_check,1
29,78.65,4,two-year,bank_transfer,1
13,72.61,0,month-to-month,credit_card,0
12,95.93,2,month-to-month,credit_card,1
46,91.27,2,month-to-month,credit_card,1
2,39.32,0,month-to-month,credit_card,1
35,67.13,4,month-to-month,credit_card,1
8,67.25,0,one-year,credit_card,1
26,57.82,1,one-year,electronic_check,0
34,71.73,2,two-year,electronic_check,1
7,61.31,0,month-to-month,bank_transfer,1
68,39.93,1,month-to-month,electronic_check,0
58,61.24,1,two-year,electronic_check,0
29,27.23,1,month-to-month,credit_card,0
36,77.58,2,two-year,bank_transfer,0
21,105.37,1,two-year,credit_card,1
36,92.53,0,two-year,bank_transfer,0
10,56.04,0,month-to-month,bank_transfer,1
24,28.71,4,month-to-month,electronic_check,1
64,40.21,1,one-year,credit_card,0
49,74.55,1,one-year,electronic_check,1
36,40.71,1,month-to-month,bank_transfer,0
24,74.4,1,one-year,electronic_check,1
23,43.16,3,month-to-month,electronic_check,0
62,104.89,0,month-to-month,electronic_check,1
37,59.73,2,two-year,bank_transfer,0
12,44.56,2,month-to-month,credit_card,1
55,101.23,1,month-to-month,bank_transfer,1
13,54.28,3,month-to-month,bank_transfer,1
23,31.15,2,month-to-month,credit_card,0
30,77.04,1,month-to-month,credit_card,1
17,78.16,1,month-to-month,credit_card,1
62,91.47,1,month-to-month,bank_transfer,0
13,44.02,2,two-year,credit_card,0
59,64.38,3,two-year,bank_transfer,0
19,48.24,1,month-to-month,electronic_check,1
49,28.1,2,month-to-month,electronic_check,1
12,107.66,2,month-to-month,electronic_check,1
61,92.89,0,one-year,electronic_check,0
19,50.15,3,one-year,credit_card,1
9,79.94,0,two-year,credit_card,1
71,40.13,1,month-to-month,credit_card,0
28,109.02,1,one-year,bank_transfer,1
52,31.49,1,month-to-month,credit_card,0
16,20.38,2,two-year,electronic_check,0
69,70.2,1,one-year,bank_transfer,0
12,78.31,5,month-to-month,credit_card,1
25,77.9,0,one-year,credit_card,1
52,25.45,1,two-year,bank_transfer,0
53,51.4,1,month-to-month,bank_transfer,0
23,69.92,1,month-to-month,electronic_check,1
16,41.66,1,month-to-month,credit_card,1
57,107.26,2,month-to-month,credit_card,0
39,28.71,2,month-to-month,bank_transfer,1
53,68.74,1,two-year,electronic_check,0
42,89.14,1,one-year,electronic_check,0
58,46.18,4,one-year,bank_transfer,1
39,82.42,2,one-year,bank_transfer,0
14,102.94,1,two-year,electronic_check,1
5,39.03,1,two-year,credit_card,1
35,111.72,1,one-year,electronic_check,1
18,75.36,0,month-to-month,electronic_check,1
9,49.92,0,month-to-month,credit_card,1
58,63.09,3,month-to-month,bank_transfer,1
17,51.22,2,month-to-month,credit_card,1
7,92.51,1,month-to-month,electronic_check,1
46,99.63,1,one-year,electronic_check,0
13,103.29,1,one-year,electronic_check,1
40,118.58,3,month-to-month,electronic_check,1
42,99.13,0,two-year,credit_card,0
9,80.14,1,month-to-month,electronic_check,1
50,53.92,1,one-year,credit_card,0
27,74.46,0,one-year,credit_card,0
66,24.11,1,one-year,bank_transfer,0
5,94.48,0,month-to-month,credit_card,1
29,64.6,0,one-year,electronic_check,1
37,22.0,0,month-to-month,electronic_check,0
38,26.25,1,one-year,credit_card,0
8,58.75,2,month-to-month,electronic_check,1
65,78.34,1,one-year,credit_card,0
17,66.42,1,month-to-month,credit_card,1
71,81.92,1,one-year,credit_card,1
45,68.03,1,month-to-month,credit_card,0
4,86.17,2,two-year,bank_transfer,1
36,41.91,2,two-year,bank_transfer,0
70,31.28,0,month-to-month,electronic_check,0
31,79.64,3,month-to-month,credit_card,1
19,68.47,3,one-year,electronic_check,1
61,22.69,0,month-to-month,credit_card,1
54,58.05,1,month-to-month,credit_card,1
39,30.61,4,month-to-month,electronic_check,0
19,73.14,1,one-year,electronic_check,1
39,59.58,1,month-to-month,bank_transfer,1
67,81.32,1,month-to-month,credit_card,0
45,100.56,1,one-year,credit_card,1
13,49.97,1,month-to-month,bank_transfer,0
58,116.21,1,month-to-month,credit_card,1
20,73.56,2,two-year,electronic_check,1
61,81.83,1,one-year,bank_transfer,0
39,88.07,0,month-to-month,bank_transfer,1
1,86.67,1,month-to-month,electronic_check,1
3,71.1,0,one-year,bank_transfer,0
62,62.88,0,month-to-month,credit_card,0
63,25.38,3,two-year,credit_card,0
25,22.21,1,one-year,bank_transfer,1
56,55.8,0,two-year,credit_card,0
33,53.37,1,two-year,electronic_check,0
38,58.77,3,month-to-month,credit_card,1
6,33.84,2,one-year,electronic_check,1
58,93.82,1,two-year,bank_transfer,0
44,105.7,1,one-year,electronic_check,1
45,113.87,1,month-to-month,credit_card,1
32,69.24,1,month-to-month,electronic_check,1
45,90.09,2,month-to-month,electronic_check,1
61,105.56,3,one-year,bank_transfer,1
47,61.83,2,one-year,electronic_check,0
21,50.94,0,two-year,electronic_check,1
36,113.67,1,one-year,bank_transfer,1
19,71.57,0,two-year,electronic_check,1
20,69.73,2,month-to-month,electronic_check,0
57,37.84,3,month-to-month,electronic_check,1
18,30.82,0,two-year,electronic_check,0
47,104.21,0,one-year,bank_transfer,1
49,81.41,1,one-year,bank_transfer,0
14,52.58,2,month-to-month,bank_transfer,1
15,39.17,1,one-year,electronic_check,0
31,75.55,2,two-year,bank_transfer,1
1,78.39,3,month-to-month,bank_transfer,1
54,40.7,1,one-year,electronic_check,0
3,105.14,3,month-to-month,electronic_check,1
16,28.43,0,month-to-month,electronic_check,1
57,55.61,0,one-year,electronic_check,0
12,88.04,1,month-to-month,electronic_check,1
16,47.41,0,month-to-month,electronic_check,1
24,102.77,3,one-year,bank_transfer,1
28,93.99,2,one-year,bank_transfer,1
8,98.9,0,month-to-month,credit_card,1
36,31.91,2,two-year,bank_transfer,0
8,34.05,1,month-to-month,bank_transfer,1
58,48.65,0,two-year,electronic_check,0
60,71.81,4,one-year,electronic_check,0
50,94.8,1,month-to-month,bank_transfer,1
28,103.65,1,month-to-month,bank_transfer,1
41,90.43,0,month-to-month,credit_card,1
64,112.86,2,month-to-month,credit_card,1
27,93.87,1,one-year,electronic_check,1
63,50.63,0,month-to-month,electronic_check,0
17,46.51,3,month-to-month,bank_transfer,1
33,89.62,0,one-year,bank_transfer,1
29,39.29,3,month-to-month,electronic_check,1
13,29.27,4,one-year,bank_transfer,1
46,73.22,3,month-to-month,electronic_check,1
35,102.16,2,one-year,bank_transfer,1
6,30.14,0,one-year,electronic_check,0
69,99.19,3,one-year,bank_transfer,1
47,101.16,1,month-to-month,credit_card,1
25,68.23,0,month-to-month,credit_card,1
66,25.73,3,month-to-month,credit_card,0
10,37.46,1,month-to-month,bank_transfer,1
56,90.74,0,month-to-month,bank_transfer,1
30,91.18,4,one-year,bank_transfer,1
5,109.84,1,one-year,electronic_check,1
33,78.27,0,two-year,electronic_check,0
65,32.41,2,month-to-month,electronic_check,0
18,32.14,0,month-to-month,bank_transfer,1
49,92.11,2,two-year,bank_transfer,1
11,38.38,1,month-to-month,electronic_check,0
26,52.84,1,one-year,bank_transfer,1
63,68.72,0,two-year,bank_transfer,0
59,22.48,3,two-year,credit_card,0
27,44.88,0,month-to-month,bank_transfer,0
49,60.79,1,one-year,electronic_check,0
33,47.96,0,month-to-month,electronic_check,0
1,33.64,2,one-year,credit_card,0
21,92.8,1,two-year,electronic_check,1
55,101.31,1,month-to-month,bank_transfer,1
6,45.75,2,two-year,bank_transfer,0
69,97.44,3,one-year,credit_card,0
5,58.56,1,month-to-month,bank_transfer,1
3,70.67,5,one-year,bank_transfer,1
53,105.6,2,month-to-month,electronic_check,1
23,95.0,1,month-to-month,credit_card,1
53,100.51,0,two-year,bank_transfer,1
37,33.68,2,month-to-month,electronic_check,0
17,26.97,3,month-to-month,bank_transfer,0
1,109.34,4,two-year,electronic_check,1
51,58.78,1,two-year,electronic_check,0
45,48.79,1,two-year,bank_transfer,0
4,92.47,1,month-to-month,credit_card,1
62,103.64,0,month-to-month,bank_transfer,1
65,106.25,1,month-to-month,bank_transfer,1
32,51.6,3,month-to-month,bank_transfer,1
34,105.22,1,two-year,bank_transfer,1
39,24.09,1,one-year,electronic_check,1
26,24.97,3,month-to-month,electronic_check,0
34,82.35,1,month-to-month,electronic_check,1
54,26.31,1,two-year,electronic_check,0
3,52.46,1,two-year,credit_card,1
50,87.28,4,month-to-month,credit_card,1
12,53.73,4,one-year,electronic_check,1
65,37.96,0,month-to-month,bank_transfer,0
54,48.14,1,one-year,credit_card,1
5,65.76,3,one-year,electronic_check,1
57,67.54,1,one-year,bank_transfer,0
17,98.3,1,month-to-month,electronic_check,1
47,95.02,2,month-to-month,bank_transfer,1
23,65.68,1,month-to-month,credit_card,1
14,104.57,1,two-year,credit_card,1
66,31.42,1,two-year,bank_transfer,0
51,45.54,1,two-year,bank_transfer,0
38,102.8,2,two-year,bank_transfer,0
64,57.8,2,one-year,electronic_check,0
38,118.12,0,month-to-month,electronic_check,1
50,66.63,1,one-year,credit_card,1
30,99.19,0,month-to-month,electronic_check,1
51,60.23,1,month-to-month,electronic_check,0
63,62.5,1,month-to-month,bank_transfer,0
52,58.29,2,month-to-month,credit_card,1
38,91.91,0,one-year,bank_transfer,1
30,74.75,2,month-to-month,bank_transfer,1
51,114.38,2,month-to-month,bank_transfer,1
5,45.09,4,one-year,credit_card,1
29,30.06,2,one-year,bank_transfer,1
4,59.33,1,one-year,credit_card,1
10,81.67,0,month-to-month,bank_transfer,1
56,106.08,1,month-to-month,bank_transfer,0
17,54.62,1,one-year,credit_card,0
17,85.38,1,one-year,credit_card,1
69,55.02,0,month-to-month,electronic_check,0
34,81.72,1,two-year,electronic_check,0
6,108.48,1,month-to-month,credit_card,1
53,43.14,4,month-to-month,bank_transfer,1
66,60.42,2,month-to-month,bank_transfer,0
43,119.33,0,month-to-month,electronic_check,0
23,106.86,0,two-year,bank_transfer,1
55,76.46,2,month-to-month,credit_card,1
16,71.66,1,month-to-month,bank_transfer,1
8,48.46,1,month-to-month,electronic_check,0
4,71.72,4,month-to-month,electronic_check,1
4,104.82,0,month-to-month,credit_card,1
56,88.52,3,month-to-month,credit_card,1
25,49.0,0,month-to-month,credit_card,0
67,40.15,1,one-year,bank_transfer,0
67,46.52,0,one-year,bank_transfer,0
27,36.98,2,one-year,credit_card,0
32,29.56,2,one-year,credit_card,0
50,61.91,2,month-to-month,credit_card,1
61,31.33,3,two-year,electronic_check,1
51,37.19,4,month-to-month,bank_transfer,1
19,74.73,3,month-to-month,credit_card,1
